FID,OBJECTID,SHAPE,PARK,FLAECHE,TYP,TELEFON,EINFRIEDUNG,WEBLINK1,SE_ANNO_CAD_DATA
HUNDEZONEOGD.94359,94359,POINT (16.445743717629462 48.206914457759666),Neue Donau Süd (MA45),19005 m²,Hundeauslaufplatz,01 4000 8042,Kennzeichnung mittels Pflöcken,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94360,94360,POINT (16.42136196709036 48.224283551886906),Kaisermühlen (MA45),3173 m²,Hundezone,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94361,94361,POINT (16.377330317726145 48.166834170699914),Hebbelpark,855 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1,2 m 2 Schwingflügeltüren",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94362,94362,POINT (16.38211099818587 48.1698086187709),Parkanlage Wieselburger Gasse,1204 m²,Hundezone,01 4000 8042,Stabilgitter 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94363,94363,POINT (16.283680371644177 48.198803269450984),Parkanlage Pachmanngasse,442 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94364,94364,POINT (16.372877471155693 48.25121111166182),Treppelweg - Brigittenauer Lände,1059 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94365,94365,POINT (16.311375307313167 48.22262947734259),Kongreßpark,3278 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94366,94366,POINT (16.307584028563934 48.20114099888549),Ordeltpark,1653 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren 2 Tore,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94367,94367,POINT (16.325858026331655 48.21446440847176),Lorenz-Bayer-Park,541 m²,Hundezone,01 4000 8042,Stabilgitterzaun 2 m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94368,94368,POINT (16.279433252894183 48.20617836819964),Steinhofer Park,11787 m²,Hundezone,01 4000 8042,Einfriedung teilweise,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94369,94369,POINT (16.43959226948922 48.20022969991071),Prater - Wehlistraße-Ostbahn,4540 m²,Hundeauslaufplatz,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94370,94370,POINT (16.414084048030844 48.171142002628514),Braunhuberpark,423 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94371,94371,POINT (16.291500448717215 48.15309403298041),Parkanlage Endemanngasse,496 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m 1 Schwingflügeltür, 1 Tor",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94372,94372,POINT (16.44219011475951 48.24117650757253),Dolfi-Gruber-Weg,1228 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m 2 Schwingflügeltüren, 1 Tor",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94373,94373,POINT (16.43814591988038 48.2386922026101),Parkanlage Donaustadtstraße,749 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94374,94374,POINT (16.371006539907228 48.23533193031272),Hugo-Gottschlich-Park,684 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94375,94375,POINT (16.278193845993126 48.13962542065117),Parkanlage Theophil-Hansen-Gasse,5260 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 4 Schwingflügeltüren 2 Tore,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94376,94376,POINT (16.314334999738787 48.2063469395582),Rohrauerpark,343 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
